timestamp,dist_real_cm,dist_sensor_cm
1771607389.14709,5,4.37
1771607389.17215,5,4.39
1771607389.19741,5,4.39
1771607389.22236,5,4.33
1771607389.24742,5,4.39
1771607389.27246,5,4.4
1771607389.29752,5,4.39
1771607389.32260,5,4.38
1771607389.34767,5,4.36
1771607389.37272,5,4.37
1771607389.39778,5,4.43
1771607389.42284,5,4.36
1771607389.44790,5,4.32
1771607389.47297,5,4.34
1771607389.49803,5,4.35
1771607389.52312,5,4.34
1771607389.54819,5,4.43
1771607389.57324,5,4.43
1771607389.59829,5,4.43
1771607389.62335,5,4.36
1771607389.64841,5,4.35
1771607389.67348,5,4.43
1771607389.69855,5,4.33
1771607389.72361,5,4.34
1771607389.74869,5,4.43
1771607389.77374,5,4.43
1771607389.79880,5,4.42
1771607389.82386,5,4.43
1771607389.84893,5,4.35
1771607389.87402,5,4.43
1771607389.89909,5,4.42
1771607389.92413,5,4.43
1771607389.94921,5,4.33
1771607389.97427,5,4.34
1771607389.99932,5,4.36
1771607390.02442,5,4.42
1771607390.04946,5,4.34
1771607390.07452,5,4.34
1771607390.09958,5,4.34
1771607390.12464,5,4.34
1771607390.14973,5,4.33
1771607390.17478,5,4.32
1771607390.19986,5,4.37
1771607390.22495,5,4.35
1771607390.25002,5,4.34
1771607390.27509,5,4.33
1771607390.30017,5,4.42
1771607390.32524,5,4.34
1771607390.35029,5,4.43
1771607390.37538,5,4.42
1771607390.40045,5,4.36
1771607390.42551,5,4.42
1771607390.45058,5,4.33
1771607390.47568,5,4.35
1771607390.50075,5,4.44
1771607390.52582,5,4.43
1771607390.55089,5,4.33
1771607390.57597,5,4.67
1771607390.60102,5,4.35
1771607390.62609,5,4.42
1771607390.65116,5,4.34
1771607390.67623,5,4.39
1771607390.70130,5,4.34
1771607390.72641,5,4.43
1771607390.75145,5,4.37
1771607390.77651,5,4.34
1771607390.80158,5,4.35
1771607390.82665,5,4.33
1771607390.85172,5,4.38
1771607390.87679,5,4.38
1771607390.90186,5,4.32
1771607390.92692,5,4.38
1771607390.95200,5,4.34
1771607390.97707,5,4.43
1771607391.00213,5,4.37
1771607391.02722,5,4.43
1771607391.05228,5,4.34
1771607391.07735,5,4.42
1771607391.10242,5,4.44
1771607391.12749,5,4.38
1771607391.15256,5,4.4
1771607391.17763,5,4.41
1771607391.20270,5,4.38
1771607391.22777,5,4.36
1771607391.25283,5,4.38
1771607391.27791,5,4.37
1771607391.30297,5,4.37
1771607391.32805,5,4.32
1771607391.35311,5,4.37
1771607391.37816,5,4.43
1771607391.40323,5,4.4
1771607391.42828,5,4.33
1771607391.45334,5,4.35
1771607391.47841,5,4.42
1771607391.50347,5,4.36
1771607391.52853,5,4.44
1771607391.55361,5,4.44
1771607391.57866,5,4.41
1771607391.60371,5,4.35
1771607391.62877,5,4.45
1771607391.65383,5,4.4
1771607391.67889,5,4.38
1771607391.70396,5,4.37
1771607391.72902,5,4.44
1771607391.75410,5,4.35
1771607391.77917,5,4.42
1771607391.80421,5,4.42
1771607391.82927,5,4.43
1771607391.85437,5,4.42
1771607391.87940,5,4.44
1771607391.90445,5,4.36
1771607391.92955,5,4.33
1771607391.95461,5,4.39
1771607391.97967,5,4.37
1771607392.00473,5,4.39
1771607392.02979,5,4.39
1771607392.05485,5,4.39
1771607392.07991,5,4.4
1771607392.10497,5,4.45
1771607392.13006,5,4.36
1771607392.15513,5,4.45
1771607392.18017,5,4.44
1771607392.20526,5,4.33
1771607392.23030,5,4.36
1771607392.25541,5,4.45
1771607392.28047,5,4.35
1771607392.30554,5,4.37
1771607392.33061,5,4.35
1771607392.35568,5,4.38
1771607392.38075,5,4.36
1771607392.40582,5,4.43
1771607392.43089,5,4.45
1771607392.45595,5,4.43
1771607392.48103,5,4.43
1771607392.50609,5,4.35
1771607392.53116,5,4.36
1771607392.55623,5,4.43
1771607392.58130,5,4.45
1771607392.60637,5,4.43
1771607392.63143,5,4.34
1771607392.65650,5,4.39
1771607392.68157,5,4.34
1771607392.70665,5,4.43
1771607392.73172,5,4.45
1771607392.75680,5,4.33
1771607392.78186,5,4.42
1771607392.80693,5,4.36
1771607392.83206,5,4.43
1771607392.85709,5,4.37
1771607392.88216,5,4.39
1771607392.90722,5,4.37
1771607392.93229,5,4.37
1771607392.95736,5,4.36
1771607392.98241,5,4.38
1771607393.00747,5,4.36
1771607393.03261,5,4.44
1771607393.05764,5,4.41
1771607393.08271,5,4.41
1771607393.10777,5,4.4
1771607393.13284,5,4.38
1771607393.15791,5,4.37
1771607393.18298,5,4.46
